, ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,Unnamed: 11,Trajectory,time[s],distance,distance normalized,time aligned [s]
141,142,141,125.88958000000001,224.44432,0,6.304209999999999,1.8978599999999999,4.5054,12.22671,36.97907,0.00856,,69,19.317,222.91051916646288,0.465045944348224,5.2059999999999995
142,143,142,125.82137,224.71291000000002,0,6.4718800000000005,1.97612,4.87664,13.74795,43.02832,0.00952,,69,19.454,212.6488796336857,0.4428436295856164,5.343
143,144,143,125.90245,224.78641000000002,0,6.903410000000001,1.98692,4.983140000000001,14.401270000000002,46.49345,0.00785,,69,19.591,216.21891673905824,0.45056784239532305,5.48
144,145,144,126.0799,224.59906,0,5.83544,1.9572900000000002,4.80975,13.57265,42.77493,0.01163,,69,19.728,230.93944870368426,0.48241751740171074,5.617000000000001
145,146,145,126.04343,224.54034,0,5.34774,2.0224900000000003,5.1321699999999995,14.91964,48.17624,0.01316,,69,19.865000000000002,229.97671379755928,0.48033452244262437,5.754000000000001
146,147,146,126.38476000000001,223.98682000000002,0,5.17845,1.94481,4.7367300000000006,13.231020000000001,41.24621,0.01026,,69,20.002000000000002,264.4406188171018,0.554901404737447,5.891000000000002
147,148,147,126.383,223.90216,0,5.6855199999999995,1.8676099999999998,4.36118,11.634,34.576809999999995,0.00815,,69,20.139000000000003,266.77140212869773,0.5599443400853701,6.028000000000002
148,149,148,126.81648,223.86395,0,5.76011,1.89983,4.53228,12.4079,37.96589,0.00788,,69,20.276000000000003,293.2316451096798,0.617194318656762,6.165000000000003
149,150,149,127.29198000000001,223.60367999999997,0,4.69319,1.78037,3.92955,9.81977,27.20645,0.00995,,69,20.413,328.39108653875246,0.6932660792163022,6.302
150,151,150,127.47316000000001,223.10466,0,4.57865,1.8257700000000001,4.121,10.49439,29.425240000000002,0.02395,,69,20.55,353.6791993830733,0.7479800105845386,6.439
151,152,151,128.03587,222.77477000000002,0,4.56387,1.82,4.07541,10.2058,27.796999999999997,0.01139,,69,20.687,396.0680652696329,0.8396935169727962,6.5760000000000005
152,153,152,128.0546,222.65233999999998,0,4.984780000000001,1.7905,3.94179,9.67496,25.73412,0.00885,,69,20.824,401.0681507060008,0.8505118146087224,6.713000000000001
153,154,153,128.56091,222.99596,0,4.096030000000001,1.8952799999999999,4.47393,12.01575,35.72954,0.01168,,69,20.961000000000002,419.84076302910853,0.8911286620805848,6.850000000000001
154,155,154,128.31921,222.46582,0,3.79998,1.8170099999999998,4.056780000000001,10.11776,27.442529999999998,0.007890000000000001,,69,21.098000000000003,422.0343088241562,0.8958746672420682,6.987000000000002
155,156,155,128.62997,222.42924,0,2.91005,1.80233,3.95612,9.61603,25.166079999999997,0.01871,,69,21.235000000000003,440.7354869615595,0.9363369580984157,7.124000000000002
156,157,156,128.97473,222.23306000000002,0,3.15085,1.8117400000000001,4.0513699999999995,10.147110000000001,27.65437,0.01491,,69,21.372,466.5186102499046,0.9921219052291821,7.260999999999999
157,158,157,129.11467,222.37271,0,2.52216,1.8748200000000002,4.2846,10.94448,30.5253,0.011059999999999999,,69,21.509,470.1597697239313,1.0,7.398
