,time[frames],multi_alignedByIntensity_intensity_mean,multi_alignedByIntensity_intensity_std,multi_alignedByIntensity_intensity_mean_normalized,multi_alignedByIntensity_intensity_std_normalized,multi_alignedByIntensity_distance_mean,multi_alignedByIntensity_distance_std,multi_alignedByIntensity_distance_mean_normalized,multi_alignedByIntensity_distance_std_normalized
421,-24.569,,,,,,,,
422,-24.258,,,,,,,,
423,-23.947,,,,,,,,
424,-23.636,,,,,,,,
425,-23.325,,,,,,,,
426,-23.014,,,,,,,,
427,-22.703,,,,,,,,
428,-22.392,,,,,,,,
429,-22.081,,,,,,,,
430,-21.77,,,,,,,,
431,-21.459,,,,,,,,
432,-21.148,,,,,,,,
433,-20.837,,,,,,,,
434,-20.526,,,,,,,,
435,-20.215,,,,,,,,
436,-19.904,,,,,,,,
437,-19.593,,,,,,,,
438,-19.282,,,,,,,,
439,-18.971,,,,,,,,
440,-18.66,,,,,,,,
441,-18.349,,,,,,,,
442,-18.038,,,,,,,,
443,-17.727,,,,,,,,
444,-17.416,,,,,,,,
445,-17.105,,,,,,,,
446,-16.794,,,,,,,,
447,-16.483,,,,,,,,
448,-16.172,,,,,,,,
449,-15.861,,,,,,,,
450,-15.55,,,,,,,,
451,-15.239,,,,,,,,
452,-14.928,,,,,,,,
453,-14.616999999999999,,,,,,,,
454,-14.306,,,,,,,,
455,-13.995,,,,,,,,
456,-13.684,,,,,,,,
457,-13.373,,,,,,,,
458,-13.062,,,,,,,,
459,-12.751,,,,,,,,
460,-12.44,,,,,,,,
461,-12.129,,,,,,,,
462,-11.818,,,,,,,,
463,-11.507,,,,,,,,
464,-11.196,,,,,,,,
465,-10.885,,,,,,,,
466,-10.574,,,,,,,,
467,-10.263,,,,,,,,
468,-9.952,,,,,,,,
469,-9.641,,,,,,,,
470,-9.33,,,,,,,,
471,-9.019,,,,,,,,
472,-8.708,,,,,,,,
473,-8.397,,,,,,,,
474,-8.086,,,,,,,,
475,-7.775,,,,,,,,
476,-7.464,,,,,,,,
477,-7.153,,,,,,,,
478,-6.842,,,,,,,,
479,-6.531,,,,,,,,
480,-6.22,,,,,,,,
481,-5.909,,,,,,,,
482,-5.598,,,,,,,,
483,-5.287,,,,,,,,
484,-4.976,,,,,,,,
485,-4.665,,,,,,,,
486,-4.354,,,,,,,,
487,-4.043,,,,,,,,
488,-3.732,3.08201,0.0,0.47477965899777963,0.0,0.0,0.0,0.0,0.0
489,-3.421,2.99183,0.0,0.4608875464970351,0.0,17.590647574350612,0.0,0.040716346017495714,0.0
490,-3.11,2.8784549999999998,0.478105,0.44342227421080843,0.0736514576088765,7.630330239452916,7.630330239452916,0.017661610520259375,0.017661610520259375
491,-2.799,2.7633349999999997,0.296775,0.42568818692886434,0.04571780536048425,5.412840116438426,1.4155472762749617,0.01252887764289285,0.0032765088642316607
492,-2.488,3.02319,0.40896,0.4657185139845417,0.06299975968401529,16.677380492483906,6.384490908650457,0.038602444391389934,0.014777917633982512
493,-2.177,3.24029,0.37934999999999985,0.49916248852337125,0.058438377435766804,9.873374197683027,0.7091110553149367,0.022853491805455435,0.0016413500964645627
494,-1.866,3.21474,0.5686,0.4952265440302018,0.08759209545268754,21.544032925277513,3.816507791600676,0.04986708394277535,0.008833913087308168
495,-1.555,3.2244599999999997,0.45815000000000006,0.49672389747339574,0.07057741563779248,12.484880620524457,5.144463428529591,0.028898237951945696,0.01190767719863752
